Label,Code
120V/XFR,221N
240V/XFR,222N
380V/XFR,223N
480V/XFR,224N
600V/XFR,225N
6V/FV,232N
12V/FV,233N
24V/FV,235N
32V/FV,238N
48V/FV,239N
120V/RES,231N
240V/RES,240N
