Label,Code
Black 40 mm,B60
Red 40 mm,B62
Red 40 mm - E STOP,B63
Green 40 mm,B61
Blue 40 mm,B64
Black 65 mm ,J60
Red 65 mm,J62
Red 65 mm - E STOP,J63
Green 65 mm,J61
Yellow 65 mm,J64
