Label,Code
Red 40 mm ,C47
Red 40 mm E STOP,C53
Green 40 mm,C48
Blue 40 mm ,C49
Amber 40 mm,C50
White 40 mm,C51
Clear 40 mm ,C52
Red side light ,C57
Red side light E STOP,C63
Green side light,C58
Blue side light,C59
Amber side light,C64
Yellow side light,C60
White side light,C61
Clear side light,C62
Red heavy-duty,C65
Green heavy-duty,C66
Amber heavy duty,C67
