Label,Code
120V/XFR,181N
240V/XFR,182N
277V/XFR,198N
380V/XFR,183N
480V/XFR,184N
600V/XFR,185N
6V/FV,203N
12V/FV,204N
24V/FV,206N
32V/FV,207N
48V/FV,208N
120V/RES,201N
240V/RES,202N
120V/neon,226N
240V/neon,227N
